name,slug,title,summary,description,tags,updated_at
Prof Matthew Lange,prof-matthew-lange,Executive Director,Leading IC-FOODS strategic vision and operations,"None for now","leadership,research,strategy",2024-03-15
Richard Hull,richard-hull,Fellow,Leading IC-FOODS strategic vision and operations,"None for now","programs,community,field-work",2024-03-10
Ishaq Salau,ishaq-salau,Fellow,Software Engineer and research initiatives,"None for now","research,data,publications",2024-03-12
Courtney Riggle,courtney-riggle,Assistant Executive Director,Leading IC-FOODS strategic vision and operations,"None for now","research,data,publications",2024-03-12
Emily Steliotes,emily-steliotes,Fellow,Leading IC-FOODS strategic vision and operations,"None for now","research,data,publications",2024-03-12
